"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LRRC14B",6.71030990316664,5.68495787810581,1.26590502183739,4.49082496714833,7.09478379163686e-06,5.7639437430348e-05
"MANEAL",275.11163816973,2.49548784097998,0.465377169037442,5.3622910770236,8.21729841834293e-08,1.11884845985593e-06
"ADSS1",475.026286082158,2.07585120914517,0.507450297619166,4.09074784049701,4.29984438467584e-05,0.000278646394137823
"ANO9",1035.10354836903,2.15074753767296,0.304076101464988,7.0730568016066,1.5155741252004e-12,5.57150430019324e-11
"MYADML2",3.62480668498629,2.56592020621151,0.831616637800096,3.0854604027635,0.00203237283779503,0.00766893215107815
"H2BC13",4.3414455530493,2.37092053267703,0.683611149264147,3.46822976077722,0.000523899154634352,0.00245284942599418
"MIXL1",12.8504048422324,2.06330712013458,0.644639375151562,3.20071531412345,0.00137086903282646,0.0055175545046536
"C12orf56",31.3652501926,5.50934178800599,1.04622147982236,5.26594214921052,1.39472203166635e-07,1.79380897244569e-06
"TMEM105",83.739110728171,2.43398729696993,0.476190825844089,5.11136957049829,3.19831605171881e-07,3.76945571216772e-06
"KPNA7",127.112874206147,2.42991733318395,0.721740558074663,3.36674627190977,0.000760606344283198,0.00335080706940199
"PARPBP",141.075578397675,2.29965000036274,0.452092784453758,5.08667707037461,3.64391506358555e-07,4.23774513431455e-06
"PDIA2",16.3779805490168,3.07378012274807,0.81264339274755,3.78244645828672,0.000155294503927805,0.000854681347677885
"PRAME",488.101722889241,7.13352374893516,1.3365852934947,5.33712572153441,9.44315649707358e-08,1.27259633808555e-06
"KCNQ5",141.259214591408,2.76468875505485,0.549494834433024,5.03132801586296,4.87093946094477e-07,5.4535888648312e-06
"NAT8L",86.790981182187,3.87488730666567,0.693926543307107,5.58400214552793,2.3504580283689e-08,3.64281102034173e-07
"DNAH14",286.50616873065,2.00019824215919,0.250507078480775,7.98459769795563,1.40981327415043e-15,9.49399033497937e-14
"NKAIN3",22.764036884536,4.11841684457974,0.752550897879692,5.47260903705431,4.43457734213015e-08,6.4441098754608e-07
"PLK5",5.8418081239606,4.1703715593949,1.13196677867225,3.68418193711179,0.000229438322549752,0.00119776982974807
"LEMD1",59.127994781071,2.53965756265635,0.795071407025575,3.1942509065411,0.00140194212495513,0.00561687202011242
"KIF18B",410.065435416105,4.2629437274802,0.561710083434726,7.58922414462155,3.21826633686422e-14,1.65100679110726e-12
"SAPCD2",256.131121025087,4.18181527879968,0.459640142540386,9.0980201504751,9.19934320818024e-20,1.23410179534941e-17
"KRT3",5.33054515428733,2.99408514920968,1.06811273346458,2.80315462535302,0.00506054008797839,0.016522750238624
"KLK12",308.281658841153,5.32928870157761,1.37570879489101,3.87384940866051,0.000107129625864733,0.000617591471935858
"CYP4F3",227.190540167432,2.36603279187938,0.8182021293201,2.89174606994176,0.00383107451508237,0.0131025618134555
"HPDL",64.8444734308631,4.03398875957909,0.677790291051361,5.95167681337206,2.65409079289875e-09,5.13476599246489e-08
