"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SBSPON",523.134138715006,-2.97429718684274,0.402634790068924,-7.38708442540096,1.50083310498774e-13,6.69189823315725e-12
"DEFA4",1.60006045179458,-3.9756571949701,1.51534119262657,-2.62360530705234,0.00870045441704734,0.0258450932697035
"GPR146",69.8535902789515,-2.39059968229133,0.34080501006375,-7.01456730886718,2.30661665223167e-12,8.22777368028074e-11
"GPER1",276.531812216027,-2.84461764061965,0.376135618822975,-7.56274465449774,3.94651868246156e-14,1.98885375280165e-12
"CA3",307.573533279783,-3.18776148362849,0.512449665148391,-6.22063336250869,4.95151987961275e-10,1.11808355422037e-08
"SPMIP6",317.724271252665,-3.11417125338823,0.837461242300452,-3.71858552502538,0.000200341463176392,0.00106536111410525
"MAMDC2",1333.1897255486,-3.6431913296998,0.458028444930225,-7.95407221980458,1.80478831181968e-15,1.19079515521768e-13
"SSMEM1",2.44983199405765,-2.8708314130965,0.858556823530482,-3.34378731193507,0.000826430695806767,0.00359774720720303
"SVEP1",2266.4205900948,-3.24566122361866,0.438164484226287,-7.40740370445556,1.2879593980005e-13,5.77658646305569e-12
"VEGFD",1293.18304128642,-4.53569595692005,0.361290740562686,-12.5541439281173,3.77239101371766e-36,5.06587732071533e-33
"OTUD1",1868.02098446181,-2.51165717657851,0.196519225420338,-12.7807199077153,2.10115599941296e-37,3.4262350221856e-34
"LRRC18",44.8489986354249,-2.92286121372385,0.716568270049241,-4.07897102884976,4.52354730902323e-05,0.000290895947937158
"PKNOX2",459.43886840601,-2.78284697459625,0.439142261322306,-6.33700561229701,2.34273461579004e-10,5.6956643816689e-09
"DEPP1",9878.69642024378,-2.50486884456941,0.394933697160673,-6.34250473580214,2.26059258405458e-10,5.51947252421197e-09
"GFI1B",15.5644869736506,-2.21450101288732,0.380101640031921,-5.82607592195957,5.6745808527458e-09,1.01553859419243e-07
"JCAD",4798.56992457012,-2.7060364346838,0.319960373206026,-8.45741117116823,2.73378639481265e-17,2.29447094144037e-15
"BTNL9",1399.1276183753,-3.91511592657478,0.429890551966477,-9.10723882780304,8.45052210300471e-20,1.14831529219937e-17
"PDZRN4",35.6902557862477,-3.24031503731051,0.435495839366015,-7.44051893131215,1.00290542802918e-13,4.62149053000843e-12
"CMTM5",15.6829444136447,-4.87907683463832,0.692880130677394,-7.04173293274882,1.89863482357761e-12,6.8690862737644e-11
"ADAMTS15",355.370986737655,-3.08112191728194,0.365411125583065,-8.43193242232451,3.40003317772746e-17,2.80214286694369e-15
"SPATA19",1.18109566240648,-2.89395905275803,1.16417609825331,-2.48584304135778,0.0129244955451803,0.0357857257490504
"C16orf78",1.22660590481417,-3.24518102526002,0.979305654768467,-3.31375705782815,0.000920514496704485,0.00393749774129037
"ASPG",145.870498030069,-2.91464565246889,0.595029519212765,-4.89832110569071,9.66589842364015e-07,1.00346882725457e-05
"CYYR1",1421.55747049964,-2.89136733937868,0.337232097421794,-8.57382011227211,1.00107752606356e-17,9.06888842956549e-16
"TMEM100",4100.72952508659,-5.69176883229187,0.474599817663668,-11.9927750084502,3.87695564096925e-33,3.4041161664495e-30
"SYNPO2L",74.6535055061707,-4.50135926202704,0.523438021407471,-8.59960315821795,7.99922134937112e-18,7.45364180346095e-16
"MFAP4",11614.1816614043,-3.57954469746399,0.453711625162971,-7.8894709743843,3.03470201202969e-15,1.88258728893005e-13
"CCDC68",740.672445538676,-2.06408996514323,0.378042498358076,-5.45994160473503,4.76291215163682e-08,6.87723316217647e-07
"CLEC4E",324.950030980452,-2.22258431523775,0.589502908421365,-3.77026861697701,0.000163071932404896,0.000890401613219651
"CLEC4D",42.5596007409461,-2.50700519018092,0.6536001546538,-3.83568634788471,0.00012521412394919,0.00070790322824073
"RRAD",1506.90243701431,-2.78569299527693,0.622432130982821,-4.4754967756538,7.62338494404695e-06,6.12167475819545e-05
"CFAP52",195.545485305724,-2.24818641514206,0.74474875945112,-3.01871790534968,0.00253846775875729,0.0092336966960915
"CHP2",18.0147217601047,-3.1710955381671,1.04502674376666,-3.03446352649054,0.00240963890045325,0.00883973107158079
"MIR202HG",1.17042125499297,-3.21546830330174,1.12759864826632,-2.85160709286545,0.0043498830827952,0.0145610331970837
"MS4A7",2870.00003177035,-2.13629176084665,0.291082896886906,-7.33911811272326,2.1500581177962e-13,9.31379065866593e-12
